iter	RMSE
0	2.256056603
1	2.221815335
2	2.191430646
3	2.160049285
4	2.13409758
5	2.109256554
6	2.087053295
7	2.064056206
8	2.044914012
9	2.026468137
10	2.009932122
11	1.994222777
12	1.980414705
13	1.965988289
14	1.95457601
15	1.942551209
16	1.929679807
17	1.919071319
18	1.907558181
19	1.898400852
20	1.889287799
21	1.879383873
22	1.87045159
23	1.863212821
24	1.855342463
25	1.847475707
26	1.841332198
27	1.834640244
28	1.827130071
29	1.820658945
30	1.814892334
31	1.808720848
32	1.803469281
33	1.796107199
34	1.790340116
35	1.78596774
36	1.780544824
37	1.776600509
38	1.772724083
39	1.768677143
40	1.763755894
41	1.75979387
42	1.755089395
43	1.751125103
44	1.745871434
45	1.741369905
46	1.737194309
47	1.734122118
48	1.730396487
49	1.726893251
50	1.723867312
51	1.721160015
52	1.717012194
53	1.713214542
54	1.709892309
55	1.706912265
56	1.703402453
57	1.700395305
58	1.696608381
59	1.694131591
60	1.691207095
61	1.688404162
62	1.686176112
63	1.683670128
64	1.681697566
65	1.679325322
66	1.676774034
67	1.673971867
68	1.672069935
69	1.669236825
70	1.667423118
71	1.665134295
72	1.662890919
73	1.660291906
74	1.658289514
75	1.655488052
76	1.653231431
77	1.651049574
78	1.648706979
79	1.646658351
80	1.644874554
81	1.642646932
82	1.640332626
83	1.638789257
84	1.636654703
85	1.634127464
86	1.632192545
87	1.630707294
88	1.628601967
89	1.626338366
90	1.624346884
91	1.622282542
92	1.620298279
93	1.618246906
94	1.616490161
95	1.614317045
96	1.612463549
97	1.610991944
98	1.609426336
99	1.607476503
100	1.605803037
101	1.604042473
102	1.602704711
103	1.601173818
104	1.599331171
105	1.597642518
106	1.595662017
107	1.593809074
108	1.592337647
109	1.591064748
110	1.589751309
111	1.588497948
112	1.587237774
113	1.585816012
114	1.58382818
115	1.582354901
116	1.580960963
117	1.579856908
118	1.578414354
119	1.57702498
120	1.575638366
121	1.573989581
122	1.572501936
123	1.571480251
124	1.569860596
125	1.568373605
