iter	Passed	Remaining
0	192	191846
1	224	112113
2	259	86157
3	293	73034
4	326	65065
5	361	59929
6	397	56328
7	432	53582
8	465	51256
9	498	49369
10	534	48014
11	570	46964
12	607	46087
13	641	45184
14	676	44409
15	715	43980
16	750	43423
17	784	42825
18	819	42337
19	853	41843
20	888	41435
21	924	41080
22	959	40737
23	993	40420
24	1033	40302
25	1067	39987
26	1101	39702
27	1136	39442
28	1171	39214
29	1205	38983
30	1238	38727
31	1275	38593
32	1309	38367
33	1345	38230
34	1379	38032
35	1416	37937
36	1455	37880
37	1490	37739
38	1525	37579
39	1560	37448
40	1596	37338
41	1633	37257
42	1670	37187
43	1706	37082
44	1744	37012
45	1779	36914
46	1816	36832
47	1850	36708
48	1888	36658
49	1925	36580
50	1962	36521
51	1995	36373
52	2029	36261
53	2068	36235
54	2103	36134
55	2139	36063
56	2182	36103
57	2217	36018
58	2256	35991
59	2291	35905
60	2328	35837
61	2363	35759
62	2397	35658
63	2430	35544
64	2464	35448
65	2496	35333
66	2528	35209
67	2563	35136
68	2595	35025
69	2629	34935
70	2663	34844
71	2698	34780
72	2732	34704
73	2769	34650
74	2803	34582
75	2850	34656
76	2883	34569
77	2921	34528
78	2955	34458
79	2988	34369
80	3021	34282
81	3055	34211
82	3095	34196
83	3130	34133
84	3163	34056
85	3200	34012
86	3233	33937
87	3266	33849
88	3298	33763
89	3332	33694
90	3364	33612
91	3397	33533
92	3434	33492
93	3471	33455
94	3506	33399
95	3540	33343
96	3576	33295
97	3611	33241
98	3647	33195
99	3681	33137
100	3717	33085
101	3755	33059
102	3790	33011
103	3827	32971
104	3865	32950
105	3900	32895
106	3938	32869
107	3972	32813
108	4007	32758
109	4041	32698
110	4078	32663
111	4113	32616
112	4147	32559
113	4184	32525
114	4222	32498
115	4256	32437
116	4293	32404
117	4326	32341
118	4360	32282
119	4394	32223
120	4428	32171
121	4462	32115
122	4498	32073
123	4532	32017
124	4569	31988
125	4615	32012
126	4646	31940
127	4683	31908
128	4720	31874
129	4756	31832
130	4789	31771
131	4826	31740
132	4859	31680
133	4892	31619
134	4926	31565
135	4960	31515
136	4992	31450
137	5025	31393
138	5059	31339
139	5092	31280
140	5123	31215
141	5160	31179
142	5193	31127
143	5230	31095
144	5265	31051
145	5299	31000
146	5331	30938
147	5367	30901
148	5402	30854
149	5437	30812
150	5472	30769
151	5506	30721
152	5539	30668
153	5575	30627
154	5609	30581
155	5643	30533
156	5677	30484
157	5711	30438
158	5746	30393
159	5779	30341
160	5815	30306
161	5847	30249
162	5885	30224
163	5920	30179
164	5955	30140
165	5989	30092
166	6027	30064
167	6063	30028
168	6098	29985
169	6132	29941
170	6166	29894
171	6200	29848
172	6237	29818
173	6271	29770
174	6305	29727
175	6343	29698
176	6380	29665
177	6414	29620
178	6453	29598
179	6488	29557
180	6522	29513
181	6557	29471
182	6593	29437
183	6628	29394
184	6664	29360
185	6703	29335
186	6737	29290
187	6775	29264
188	6813	29238
189	6849	29201
190	6888	29175
191	6924	29142
192	6966	29129
193	7001	29087
194	7036	29049
195	7073	29017
196	7108	28977
197	7140	28923
198	7177	28890
199	7212	28848
200	7249	28818
201	7284	28778
202	7320	28741
203	7356	28705
204	7392	28669
205	7429	28635
206	7464	28595
207	7497	28548
208	7532	28509
209	7571	28483
210	7610	28460
211	7645	28417
212	7679	28374
213	7714	28332
214	7750	28296
215	7785	28258
216	7820	28218
217	7855	28179
218	7900	28173
219	7935	28134
220	7971	28098
221	8005	28055
222	8039	28010
223	8076	27978
224	8109	27931
225	8142	27887
226	8181	27860
227	8215	27818
228	8251	27781
229	8286	27741
230	8321	27701
231	8355	27659
232	8392	27627
233	8426	27584
234	8461	27544
235	8496	27504
236	8529	27460
237	8563	27416
238	8600	27384
239	8633	27340
240	8668	27301
241	8704	27264
242	8735	27214
243	8769	27170
244	8807	27140
245	8840	27097
246	8876	27060
247	8912	27023
248	8946	26984
249	8980	26941
250	9017	26907
251	9053	26872
252	9100	26870
253	9132	26823
254	9170	26791
255	9202	26744
256	9235	26701
257	9268	26656
258	9303	26617
259	9339	26580
260	9374	26543
261	9407	26498
262	9445	26467
263	9480	26431
264	9514	26388
265	9547	26344
266	9582	26306
267	9620	26275
268	9653	26233
269	9689	26196
270	9721	26149
271	9756	26114
272	9795	26086
273	9829	26043
274	9864	26005
275	9901	25972
276	9938	25939
277	9971	25898
278	10004	25853
279	10037	25811
280	10071	25770
281	10108	25738
282	10144	25702
283	10180	25665
284	10215	25629
285	10250	25590
286	10287	25556
287	10322	25518
288	10359	25486
289	10396	25452
290	10429	25410
291	10464	25371
292	10499	25334
293	10533	25295
294	10567	25254
295	10604	25222
296	10639	25184
297	10678	25154
298	10715	25123
299	10758	25102
300	10792	25063
301	10827	25025
302	10860	24982
303	10895	24945
304	10931	24909
305	10965	24869
306	11000	24831
307	11033	24789
308	11064	24743
309	11097	24700
310	11135	24669
311	11173	24638
312	11210	24605
313	11247	24573
314	11286	24544
315	11323	24510
316	11359	24474
317	11395	24440
318	11432	24405
319	11466	24366
320	11503	24332
321	11541	24301
322	11575	24261
323	11609	24222
324	11645	24186
325	11680	24149
326	11722	24125
327	11759	24092
328	11795	24056
329	11832	24022
330	11870	23992
331	11907	23957
332	11944	23923
333	11986	23902
334	12024	23869
335	12058	23830
336	12092	23789
337	12124	23747
338	12157	23705
339	12193	23669
340	12226	23628
341	12260	23588
342	12295	23552
343	12332	23518
344	12368	23482
345	12401	23440
346	12438	23407
347	12472	23368
348	12506	23329
349	12541	23291
350	12577	23255
351	12614	23221
352	12649	23184
353	12680	23140
354	12717	23105
355	12751	23066
356	12787	23032
357	12821	22993
358	12855	22954
359	12893	22921
360	12931	22890
361	12968	22855
362	13005	22821
363	13042	22788
364	13076	22749
365	13111	22711
366	13149	22679
367	13182	22640
368	13215	22599
369	13247	22557
370	13281	22516
371	13315	22479
372	13350	22441
373	13384	22402
374	13419	22365
375	13453	22327
376	13489	22291
377	13526	22257
378	13560	22219
379	13593	22179
380	13629	22142
381	13669	22114
382	13707	22081
383	13744	22048
384	13781	22014
385	13817	21978
386	13849	21937
387	13884	21900
